WORD;DEFINITION;Type;;GROUPING
317;anthropomorphous;a;resembling a human being
318;antic;v;a ludicrous or extravagant gesture
319;antichrist;n;one who works against the teachings of christ
320;antidepressant;n;a substance that is used in the treatment of mood disorders
321;antidote;n;a remedy to counteract the effects of poison
322;antigen;n;a toxin that induces an immune response in the body
323;antilogy;n;a contradiction in related terms or ideas
324;antipathy;n;a deep seated feeling of dislike
325;antiphon;n;a devotional piece of music sung responsively
326;antiphony;n;alternate, responsive singing by a two part choir
327;antipodes;n;any two places that are on opposite sides of the earth
328;antiquary;n;a person who is knowledgeable of, or who collects antiques
329;antiquate;v;to cause to become old or obsolete
330;antique;a;of, or belonging to the past, not modern
331;antiseptic;a;of, or relating to antisepsis, or the use of antiseptics
332;antislavery;a;opposed to the practice of slavery
333;antispasmodic;a;referring to something that suppresses spasms, like a drug
334;antistrophe;n;the second section of an ancient Greek choral ode
335;antithesis;n;a proposition diametrically opposite of another proposition
336;antitoxin;n;a substance, formed in the body, that counters a toxin
337;antonym;n;a word which has the opposite meaning of another
338;anxious;a;greatly concerned, respecting something future or unknown
339;apartheid;n;any system that separates people according to race
340;apathy;n;complete lack of emotion or motivation about something
341;aperture;n;an opening or gap in something
342;apex;n;the highest point of something
343;aphorism;n;a saying embodying a general truth
344;apiary;n;a place where bees and their hives are kept
345;aplomb;n;self-confidence, poise, composure
346;apocryphal;a;of doubtful authenticity
347;apogee;n;the point in orbit around Earth when the object is farthest
348;apolitical;a;having no interest or involvement in politics
349;apostasy;n;the renunciation of a belief or set of beliefs
350;apostate;n;a person who forsakes his religion, cause, party
351;apostle;n;a missionary, or leader of a religious mission
352;apothecary;n;a person who makes and provides/sells drugs and/or medicines
353;apothegm;n;a short, witty, instructive saying, an aphorism or maxim
354;apotheosis;n;the fact or action of becoming or making into a god
355;appalling;a;causing dismay or horror
356;apparent;a;capable of being seen, or easily seen
357;apparition;n;a supernatural appearance of a person or thing, like a ghost
358;appease;v;pacify or placate
359;appellate;a;describing something that is appealed to
360;append;v;to add as supplement or in addition
361;appertain;v;to relate to
362;applicable;a;suitable for application, relevant, appropriate
363;application;n;the act of putting to a special use or purpose
364;apportion;v;to divide and distribute portions of a whole
365;apposite;a;appropriate, relevant, well-suited, fit
366;appraise;v;to assess the value or quality of
367;apprehend;v;to take or seize, to take hold of
368;apprehensive;a;anticipating something with anxiety or fear
369;apprentice;n;a person who's learning a trade from a skilled employer
370;apprise;v;to notify, or to make aware, to inform
371;approbation;n;approval
